Network Size;Dataset Type;Scoring;TP;FP;FN;Precision;Recall;F1_Score;SHD;Jaccard Distance
10;async_SINGLE_attr_heavy;BDE;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;async_SINGLE_attr_heavy;MDL;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;async_SINGLE_full;BDE;3;6;13;0.3333;0.1875;0.2400;19;0.8636
10;async_SINGLE_full;MDL;3;6;13;0.3333;0.1875;0.2400;19;0.8636
10;async_SINGLE_sampled_f3;BDE;0;2;16;0.0000;0.0000;0.0000;18;1.0000
10;async_SINGLE_sampled_f3;MDL;1;4;15;0.2000;0.0625;0.0952;19;0.9500
10;async_SINGLE_trans_heavy;BDE;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;async_SINGLE_trans_heavy;MDL;0;2;16;0.0000;0.0000;0.0000;18;1.0000
10;async_attr_heavy;BDE;10;15;6;0.4000;0.6250;0.4878;21;0.6774
10;async_attr_heavy;MDL;10;15;6;0.4000;0.6250;0.4878;21;0.6774
10;async_full;BDE;13;17;3;0.4333;0.8125;0.5652;20;0.6061
10;async_full;MDL;13;17;3;0.4333;0.8125;0.5652;20;0.6061
10;async_sampled_f3;BDE;13;17;3;0.4333;0.8125;0.5652;20;0.6061
10;async_sampled_f3;MDL;13;17;3;0.4333;0.8125;0.5652;20;0.6061
10;async_trans_heavy;BDE;13;15;3;0.4643;0.8125;0.5909;18;0.5806
10;async_trans_heavy;MDL;13;15;3;0.4643;0.8125;0.5909;18;0.5806
10;sync_SINGLE_attr_heavy;BDE;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;sync_SINGLE_attr_heavy;MDL;0;2;16;0.0000;0.0000;0.0000;18;1.0000
10;sync_SINGLE_full;BDE;2;3;14;0.4000;0.1250;0.1905;17;0.8947
10;sync_SINGLE_full;MDL;2;3;14;0.4000;0.1250;0.1905;17;0.8947
10;sync_SINGLE_sampled_f3;BDE;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;sync_SINGLE_sampled_f3;MDL;1;2;15;0.3333;0.0625;0.1053;17;0.9444
10;sync_SINGLE_trans_heavy;BDE;0;0;16;0.0000;0.0000;0.0000;16;1.0000
10;sync_SINGLE_trans_heavy;MDL;0;2;16;0.0000;0.0000;0.0000;18;1.0000
10;sync_attractor_heavy;BDE;4;16;12;0.2000;0.2500;0.2222;28;0.8750
10;sync_attractor_heavy;MDL;5;17;11;0.2273;0.3125;0.2632;28;0.8485
10;sync_full;BDE;2;16;14;0.1111;0.1250;0.1176;30;0.9375
10;sync_full;MDL;3;16;13;0.1579;0.1875;0.1714;29;0.9062
10;sync_sampled_f3;BDE;3;9;13;0.2500;0.1875;0.2143;22;0.8800
10;sync_sampled_f3;MDL;3;9;13;0.2500;0.1875;0.2143;22;0.8800
10;sync_transient_heavy;BDE;4;15;12;0.2105;0.2500;0.2286;27;0.8710
10;sync_transient_heavy;MDL;4;19;12;0.1739;0.2500;0.2051;31;0.8857
16;async_SINGLE_attr_heavy;BDE;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;async_SINGLE_attr_heavy;MDL;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;async_SINGLE_full;BDE;2;5;19;0.2857;0.0952;0.1429;24;0.9231
16;async_SINGLE_full;MDL;2;5;19;0.2857;0.0952;0.1429;24;0.9231
16;async_SINGLE_sampled_f3;BDE;2;3;19;0.4000;0.0952;0.1538;22;0.9167
16;async_SINGLE_sampled_f3;MDL;2;3;19;0.4000;0.0952;0.1538;22;0.9167
16;async_SINGLE_trans_heavy;BDE;2;3;19;0.4000;0.0952;0.1538;22;0.9167
16;async_SINGLE_trans_heavy;MDL;2;4;19;0.3333;0.0952;0.1481;23;0.9200
16;async_attr_heavy;BDE;12;26;9;0.3158;0.5714;0.4068;35;0.7447
16;async_attr_heavy;MDL;12;27;9;0.3077;0.5714;0.4000;36;0.7500
16;async_full;BDE;13;35;8;0.2708;0.6190;0.3768;43;0.7679
16;async_full;MDL;13;35;8;0.2708;0.6190;0.3768;43;0.7679
16;async_sampled_f3;BDE;13;35;8;0.2708;0.6190;0.3768;43;0.7679
16;async_sampled_f3;MDL;13;35;8;0.2708;0.6190;0.3768;43;0.7679
16;async_trans_heavy;BDE;16;32;5;0.3333;0.7619;0.4638;37;0.6981
16;async_trans_heavy;MDL;16;32;5;0.3333;0.7619;0.4638;37;0.6981
16;sync_SINGLE_attr_heavy;BDE;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_attr_heavy;MDL;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_full;BDE;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_full;MDL;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_sampled_f3;BDE;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_sampled_f3;MDL;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_trans_heavy;BDE;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_SINGLE_trans_heavy;MDL;0;0;21;0.0000;0.0000;0.0000;21;1.0000
16;sync_attractor_heavy;BDE;3;16;18;0.1579;0.1429;0.1500;34;0.9189
16;sync_attractor_heavy;MDL;3;18;18;0.1429;0.1429;0.1429;36;0.9231
16;sync_full;BDE;3;15;18;0.1667;0.1429;0.1538;33;0.9167
16;sync_full;MDL;3;17;18;0.1500;0.1429;0.1463;35;0.9211
16;sync_sampled_f3;BDE;3;9;18;0.2500;0.1429;0.1818;27;0.9000
16;sync_sampled_f3;MDL;3;9;18;0.2500;0.1429;0.1818;27;0.9000
16;sync_transient_heavy;BDE;3;16;18;0.1579;0.1429;0.1500;34;0.9189
16;sync_transient_heavy;MDL;3;17;18;0.1500;0.1429;0.1463;35;0.9211
5;async_SINGLE_attr_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_attr_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_full;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_full;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_sampled_f3;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_sampled_f3;MDL;1;1;9;0.5000;0.1000;0.1667;10;0.9091
5;async_SINGLE_trans_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_SINGLE_trans_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;async_attr_heavy;BDE;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_attr_heavy;MDL;10;5;0;0.6667;1.0000;0.8000;5;0.3333
5;async_full;BDE;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_full;MDL;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_sampled_f3;BDE;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_sampled_f3;MDL;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_trans_heavy;BDE;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;async_trans_heavy;MDL;10;4;0;0.7143;1.0000;0.8333;4;0.2857
5;sync_SINGLE_attr_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;sync_SINGLE_attr_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;sync_SINGLE_full;BDE;2;1;8;0.6667;0.2000;0.3077;9;0.8182
5;sync_SINGLE_full;MDL;2;1;8;0.6667;0.2000;0.3077;9;0.8182
5;sync_SINGLE_sampled_f3;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;sync_SINGLE_sampled_f3;MDL;1;1;9;0.5000;0.1000;0.1667;10;0.9091
5;sync_SINGLE_trans_heavy;BDE;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;sync_SINGLE_trans_heavy;MDL;0;0;10;0.0000;0.0000;0.0000;10;1.0000
5;sync_attractor_heavy;BDE;6;5;4;0.5455;0.6000;0.5714;9;0.6000
5;sync_attractor_heavy;MDL;6;6;4;0.5000;0.6000;0.5455;10;0.6250
5;sync_full;BDE;6;8;4;0.4286;0.6000;0.5000;12;0.6667
5;sync_full;MDL;6;8;4;0.4286;0.6000;0.5000;12;0.6667
5;sync_sampled_f3;BDE;6;5;4;0.5455;0.6000;0.5714;9;0.6000
5;sync_sampled_f3;MDL;6;5;4;0.5455;0.6000;0.5714;9;0.6000
5;sync_transient_heavy;BDE;7;8;3;0.4667;0.7000;0.5600;11;0.6111
5;sync_transient_heavy;MDL;7;8;3;0.4667;0.7000;0.5600;11;0.6111
7;async_SINGLE_attr_heavy;BDE;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_SINGLE_attr_heavy;MDL;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_SINGLE_full;BDE;0;2;9;0.0000;0.0000;0.0000;11;1.0000
7;async_SINGLE_full;MDL;0;2;9;0.0000;0.0000;0.0000;11;1.0000
7;async_SINGLE_sampled_f3;BDE;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_SINGLE_sampled_f3;MDL;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_SINGLE_trans_heavy;BDE;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_SINGLE_trans_heavy;MDL;0;0;9;0.0000;0.0000;0.0000;9;1.0000
7;async_attr_heavy;BDE;4;8;5;0.3333;0.4444;0.3810;13;0.7647
7;async_attr_heavy;MDL;4;9;5;0.3077;0.4444;0.3636;14;0.7778
7;async_full;BDE;7;14;2;0.3333;0.7778;0.4667;16;0.6957
7;async_full;MDL;7;14;2;0.3333;0.7778;0.4667;16;0.6957
7;async_sampled_f3;BDE;7;14;2;0.3333;0.7778;0.4667;16;0.6957
7;async_sampled_f3;MDL;7;14;2;0.3333;0.7778;0.4667;16;0.6957
