Network Size;Dataset Type;Scoring;TP;FP;FN;Precision;Recall;F1_Score;SHD;Jaccard Distance
10;async_SINGLE_attr_heavy;BDE;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;async_SINGLE_attr_heavy;MDL;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;async_SINGLE_full;BDE;0;5;12;0.0000;0.0000;0.0000;17;1.0000
10;async_SINGLE_full;MDL;0;6;12;0.0000;0.0000;0.0000;18;1.0000
10;async_SINGLE_sampled_f3;BDE;0;3;12;0.0000;0.0000;0.0000;15;1.0000
10;async_SINGLE_sampled_f3;MDL;0;4;12;0.0000;0.0000;0.0000;16;1.0000
10;async_SINGLE_trans_heavy;BDE;0;2;12;0.0000;0.0000;0.0000;14;1.0000
10;async_SINGLE_trans_heavy;MDL;0;2;12;0.0000;0.0000;0.0000;14;1.0000
10;async_attr_heavy;BDE;11;7;1;0.6111;0.9167;0.7333;8;0.4211
10;async_attr_heavy;MDL;11;8;1;0.5789;0.9167;0.7097;9;0.4500
10;async_full;BDE;11;19;1;0.3667;0.9167;0.5238;20;0.6452
10;async_full;MDL;11;19;1;0.3667;0.9167;0.5238;20;0.6452
10;async_sampled_f3;BDE;11;19;1;0.3667;0.9167;0.5238;20;0.6452
10;async_sampled_f3;MDL;11;19;1;0.3667;0.9167;0.5238;20;0.6452
10;async_trans_heavy;BDE;12;17;0;0.4138;1.0000;0.5854;17;0.5862
10;async_trans_heavy;MDL;12;17;0;0.4138;1.0000;0.5854;17;0.5862
10;sync_SINGLE_attr_heavy;BDE;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_attr_heavy;MDL;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_full;BDE;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_full;MDL;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_sampled_f3;BDE;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_sampled_f3;MDL;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_trans_heavy;BDE;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_SINGLE_trans_heavy;MDL;0;0;12;0.0000;0.0000;0.0000;12;1.0000
10;sync_attractor_heavy;BDE;4;19;8;0.1739;0.3333;0.2286;27;0.8710
10;sync_attractor_heavy;MDL;4;20;8;0.1667;0.3333;0.2222;28;0.8750
10;sync_full;BDE;5;22;7;0.1852;0.4167;0.2564;29;0.8529
10;sync_full;MDL;5;22;7;0.1852;0.4167;0.2564;29;0.8529
10;sync_sampled_f3;BDE;5;16;7;0.2381;0.4167;0.3030;23;0.8214
10;sync_sampled_f3;MDL;5;18;7;0.2174;0.4167;0.2857;25;0.8333
10;sync_transient_heavy;BDE;5;22;7;0.1852;0.4167;0.2564;29;0.8529
10;sync_transient_heavy;MDL;5;22;7;0.1852;0.4167;0.2564;29;0.8529
16;async_SINGLE_attr_heavy;BDE;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;async_SINGLE_attr_heavy;MDL;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;async_SINGLE_full;BDE;1;8;17;0.1111;0.0556;0.0741;25;0.9615
16;async_SINGLE_full;MDL;1;9;17;0.1000;0.0556;0.0714;26;0.9630
16;async_SINGLE_sampled_f3;BDE;1;4;17;0.2000;0.0556;0.0870;21;0.9545
16;async_SINGLE_sampled_f3;MDL;1;5;17;0.1667;0.0556;0.0833;22;0.9565
16;async_SINGLE_trans_heavy;BDE;1;5;17;0.1667;0.0556;0.0833;22;0.9565
16;async_SINGLE_trans_heavy;MDL;1;5;17;0.1667;0.0556;0.0833;22;0.9565
16;async_attr_heavy;BDE;11;26;7;0.2973;0.6111;0.4000;33;0.7500
16;async_attr_heavy;MDL;11;28;7;0.2821;0.6111;0.3860;35;0.7609
16;async_full;BDE;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;async_full;MDL;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;async_sampled_f3;BDE;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;async_sampled_f3;MDL;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;async_trans_heavy;BDE;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;async_trans_heavy;MDL;13;35;5;0.2708;0.7222;0.3939;40;0.7547
16;sync_SINGLE_attr_heavy;BDE;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_attr_heavy;MDL;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_full;BDE;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_full;MDL;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_sampled_f3;BDE;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_sampled_f3;MDL;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_trans_heavy;BDE;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_SINGLE_trans_heavy;MDL;0;0;18;0.0000;0.0000;0.0000;18;1.0000
16;sync_attractor_heavy;BDE;1;42;17;0.0233;0.0556;0.0328;59;0.9833
16;sync_attractor_heavy;MDL;1;36;17;0.0270;0.0556;0.0364;53;0.9815
