GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
x1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1
x2	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1
x3	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0
x4	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
x5	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0
x6	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1
x7	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
x8	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1
x9	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0
x10	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1
