GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
x1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
x2	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0
x3	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0
x4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x5	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
x6	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x7	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
x8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x9	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1
x10	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0
x11	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
x12	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1
x13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x14	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0
x15	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0
x16	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
