GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
x1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1
x2	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
x3	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0
x4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
x5	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0
x6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
x7	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0
x8	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
x9	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1
x10	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0
x11	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0
x12	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1
x13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x14	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0
x15	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0
x16	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
