GeneName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
x1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x2	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0
x3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x4	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	1
x5	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1
x6	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0
x7	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0
x8	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
x9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x10	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1
x11	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0
x12	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0
x13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
