Network Size;Dataset Type;Scoring;TP;FP;FN;Precision;Recall;F1_Score
10;async_attractor;BDE;0;3;12;0.0000;0.0000;0.0000
10;async_attractor;MDL;0;0;12;0.0000;0.0000;0.0000
10;async_sampled;BDE;0;3;12;0.0000;0.0000;0.0000
10;async_sampled;MDL;0;0;12;0.0000;0.0000;0.0000
10;async_transient;BDE;0;3;12;0.0000;0.0000;0.0000
10;async_transient;MDL;0;0;12;0.0000;0.0000;0.0000
10;sync_attractor;BDE;0;3;12;0.0000;0.0000;0.0000
10;sync_attractor;MDL;0;0;12;0.0000;0.0000;0.0000
10;sync_balanced;BDE;0;3;12;0.0000;0.0000;0.0000
10;sync_balanced;MDL;0;0;12;0.0000;0.0000;0.0000
10;sync_transient;BDE;0;3;12;0.0000;0.0000;0.0000
10;sync_transient;MDL;0;2;12;0.0000;0.0000;0.0000
16;async_attractor;BDE;0;6;31;0.0000;0.0000;0.0000
16;async_attractor;MDL;0;4;31;0.0000;0.0000;0.0000
16;async_sampled;BDE;0;17;31;0.0000;0.0000;0.0000
16;async_sampled;MDL;0;4;31;0.0000;0.0000;0.0000
16;async_transient;BDE;0;11;31;0.0000;0.0000;0.0000
16;async_transient;MDL;0;6;31;0.0000;0.0000;0.0000
16;sync_attractor;BDE;0;3;31;0.0000;0.0000;0.0000
16;sync_attractor;MDL;0;3;31;0.0000;0.0000;0.0000
16;sync_balanced;BDE;0;19;31;0.0000;0.0000;0.0000
16;sync_balanced;MDL;0;4;31;0.0000;0.0000;0.0000
16;sync_transient;BDE;0;19;31;0.0000;0.0000;0.0000
16;sync_transient;MDL;0;5;31;0.0000;0.0000;0.0000
5;async_attractor;BDE;0;0;8;0.0000;0.0000;0.0000
5;async_attractor;MDL;0;0;8;0.0000;0.0000;0.0000
5;async_sampled;BDE;0;0;8;0.0000;0.0000;0.0000
5;async_sampled;MDL;0;0;8;0.0000;0.0000;0.0000
5;async_transient;BDE;0;0;8;0.0000;0.0000;0.0000
5;async_transient;MDL;0;0;8;0.0000;0.0000;0.0000
5;sync_attractor;BDE;0;0;8;0.0000;0.0000;0.0000
5;sync_attractor;MDL;0;0;8;0.0000;0.0000;0.0000
5;sync_balanced;BDE;0;0;8;0.0000;0.0000;0.0000
5;sync_balanced;MDL;0;0;8;0.0000;0.0000;0.0000
5;sync_transient;BDE;0;0;8;0.0000;0.0000;0.0000
5;sync_transient;MDL;0;0;8;0.0000;0.0000;0.0000
